=== Sweep: 3 datasets × 4 strategies × 4 budgets = 48 runs ===


[1] ring | Baseline | b=0.0
  Epoch 100 | Loss 0.8770 | Val 0.7880 | Test 0.8010
  Epoch 150 | Loss 0.6567 | Val 0.8060 | Test 0.8290
  Epoch 200 | Loss 0.5765 | Val 0.7940 | Test 0.8220
  → acc=0.809 | MAD=0.601 | jac=4.2629 | E=5278

[20] cora | K-hop | b=0.25
  Epoch 050 | Loss 1.2064 | Val 0.7540 | Test 0.7580
  Epoch 100 | Loss 0.8092 | Val 0.7620 | Test 0.7910
  Epoch 150 | Loss 0.7577 | Val 0.7600 | Test 0.7910
  Epoch 200 | Loss 0.6669 | Val 0.7600 | Test 0.7980
  → acc=0.815 | MAD=0.627 | jac=8.3927 | E=6597

[21] cora | K-hop | b=0.75
  Epoch 050 | Loss 1.3266 | Val 0.7300 | Test 0.7300
  Epoch 100 | Loss 1.0102 | Val 0.7260 | Test 0.7470
  Epoch 150 | Loss 0.7611 | Val 0.7360 | Test 0.7790
  Epoch 200 | Loss 0.6709 | Val 0.7260 | Test 0.7720
  → acc=0.781 | MAD=0.623 | jac=6.4891 | E=9236

[22] cora | K-hop | b=1.5
  Epoch 050 | Loss 1.3580 | Val 0.6780 | Test 0.6860
  Epoch 100 | Loss 0.9949 | Val 0.7080 | Test 0.7420
  Epoch 150 | Loss 0.8281 | Val 0.7060 | Test 0.7490
  Epoch 200 | Loss 0.6784 | Val 0.6980 | Test 0.7390
  → acc=0.745 | MAD=0.585 | jac=2.8627 | E=13195

[23] cora | FeatureSim | b=0.0
  Epoch 050 | Loss 1.2136 | Val 0.8040 | Test 0.8190
  Epoch 100 | Loss 0.8311 | Val 0.8180 | Test 0.8180
  Epoch 150 | Loss 0.6561 | Val 0.7920 | Test 0.8100
  Epoch 200 | Loss 0.6625 | Val 0.7980 | Test 0.8290
  → acc=0.818 | MAD=0.664 | jac=3.3646 | E=5278

[24] cora | FeatureSim | b=0.25
  Epoch 050 | Loss 1.1740 | Val 0.7620 | Test 0.7690
  Epoch 100 | Loss 0.7415 | Val 0.7660 | Test 0.7860
  Epoch 150 | Loss 0.6293 | Val 0.7760 | Test 0.7780
  Epoch 200 | Loss 0.5836 | Val 0.7740 | Test 0.7870
  → acc=0.796 | MAD=0.582 | jac=1.8512 | E=6597

[25] cora | FeatureSim | b=0.75
  Epoch 050 | Loss 1.1658 | Val 0.7340 | Test 0.7440
  Epoch 100 | Loss 0.8062 | Val 0.7500 | Test 0.7600
  Epoch 150 | Loss 0.6863 | Val 0.7480 | Test 0.7720
  Epoch 200 | Loss 0.5602 | Val 0.7600 | Test 0.7830
  → acc=0.774 | MAD=0.571 | jac=2.5455 | E=9236

[26] cora | FeatureSim | b=1.5
  Epoch 050 | Loss 1.3944 | Val 0.7220 | Test 0.7190
  Epoch 100 | Loss 0.9748 | Val 0.7000 | Test 0.7030
  Epoch 150 | Loss 0.8351 | Val 0.7080 | Test 0.6990
  Epoch 200 | Loss 0.8494 | Val 0.7260 | Test 0.7230
  → acc=0.741 | MAD=0.517 | jac=0.5907 | E=13195

[27] mnist | Baseline | b=0.0
Downloading https://data.pyg.org/datasets/MNISTSuperpixels.zip
Extracting data/raw/MNISTSuperpixels.zip
Processing...
Done!
  [MNIST] Train: 3200 | Val: 800 | Test: 1000
  [MNIST] Nodos por grafo: ~75 | Features: 3 | Clases: 10
  [device] Usando: cpu
  Epoch 01/25 | Loss 2.2437 | Val 0.0875 | Test 0.1040
  Epoch 02/25 | Loss 1.9320 | Val 0.1187 | Test 0.1390
  Epoch 03/25 | Loss 1.6485 | Val 0.5150 | Test 0.4810
  Epoch 04/25 | Loss 1.4451 | Val 0.5625 | Test 0.5510
  Epoch 05/25 | Loss 1.3016 | Val 0.6212 | Test 0.5910
  Epoch 06/25 | Loss 1.2220 | Val 0.6488 | Test 0.6440
  Epoch 07/25 | Loss 1.1460 | Val 0.6613 | Test 0.6320
  Epoch 08/25 | Loss 1.0793 | Val 0.6300 | Test 0.6380
  Epoch 09/25 | Loss 1.0344 | Val 0.6987 | Test 0.7030
  Epoch 10/25 | Loss 0.9714 | Val 0.7300 | Test 0.7220
  Epoch 11/25 | Loss 0.9366 | Val 0.7262 | Test 0.7190
  Epoch 12/25 | Loss 0.8962 | Val 0.7325 | Test 0.7230
  Epoch 13/25 | Loss 0.8468 | Val 0.7525 | Test 0.7460
  Epoch 14/25 | Loss 0.8319 | Val 0.7850 | Test 0.7740
  Epoch 15/25 | Loss 0.8246 | Val 0.7650 | Test 0.7650
  Epoch 16/25 | Loss 0.7824 | Val 0.7825 | Test 0.7900
  Epoch 17/25 | Loss 0.7768 | Val 0.7825 | Test 0.7700
  Epoch 18/25 | Loss 0.7629 | Val 0.8000 | Test 0.7910
  Epoch 19/25 | Loss 0.7430 | Val 0.7913 | Test 0.7880
  Epoch 20/25 | Loss 0.7261 | Val 0.8013 | Test 0.8000
  Epoch 21/25 | Loss 0.7295 | Val 0.8025 | Test 0.7910
